Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
195552:2701,1817,159264308.543,"[1-21], [23-27], [30-147], [149-155], [158-182], [185-287], [290-349], [352-469], [472-815], [818-823], [825-883], [885-1152], [1154-1300], [1303-1391], [1394-1789]",154446024.23
195633:2710,77,7084024.23637,[40-42],334060.647113
195647:2710,44,5740812.68828,[1-41],5227130.07985
195649:2710,254,30281265.3233,"[1-69], [72-151], [154-181], [183-247]",28414891.5273
195655:2710,503,48385074.7579,"[1-129], [131-184], [186-260], [263-350], [353-446], [448-483], [485-498]",46640117.2037
195656:2710,488,37974987.2765,[1-362],28681580.0161
195658:2710,398,25794792.5734,"[1-37], [40-362], [364-382], [384-386]",24530358.4281
195749:2711,142,19751648.3931,"[1-8], [10-33], [36-131]",17044559.2989
195757:2711,213,26602146.4861,"[1-82], [85-115], [118-161], [163-206]",23899158.7275
195758:2711,74,4185001.91807,[1-18],2025544.66248
195774:2712,973,112358335.179,"[1-13], [16-151], [154-162], [164-256], [258-276], [279-362], [365-466], [469-618], [620-649], [651-830]",95601399.5552
195775:2712,176,14831878.8274,"[1-57], [60-100], [103-170]",13787836.3571
195776:2712,608,41281903.264,"[1-63], [66-283], [286-337], [340-399], [401-409], [411-477]",34136593.3579
195841:2713,143,3615635.60656,[74-90],1575193.84391
195868:2714,383,29172019.8511,"[1-88], [90-107], [110-205]",25755813.1853
195915:2717,865,98535842.9184,"[1-109], [111-275], [278-390], [393-417], [419-429], [432-505], [507-747], [749-785], [787-828], [830-850]",94341947.0282
195916:2717,218,18841886.3752,"[1-16], [19-68], [71-212]",17837171.2533
195917:2717,17,1396429.7235,[1-4],325628.297152
195918:2717,74,5961212.71612,"[1-46], [49-64]",4950289.89646
195919:2717,25,1969014.41368,[1-15],1175017.49177
195923:2717,23,1790027.22743,[1-14],1083475.80941
195925:2717,21,1617292.63937,[1-12],918185.378828
195926:2717,56,4245216.21253,"[1-1], [3-19], [21-34]",2420750.91045
195929:2717,35,2586465.04976,[1-29],2130420.18882
195930:2717,602,39077545.7811,"[1-77], [80-176], [179-526], [529-596]",37952111.7924
195937:2717,410,21476246.2626,"[1-28], [31-186], [188-400]",21165428.7788
195947:2718,97,11770867.6234,"[23-62], [64-88]",6517502.92108
195948:2718,621,73330138.9586,"[51-116], [119-144], [147-147], [150-352], [355-369], [372-402], [404-500], [503-540], [543-565], [567-602], [605-615]",62447140.8097
